,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.304,288.87,27.81,75.86,51.84,19
1,1981,37,0.305,289.41,36.83,53.05,44.94,19
2,1981,38,0.301,289.34,43.0,37.74,40.37,19
3,1981,39,0.29,288.46,46.51,28.99,37.75,19
4,1981,40,0.27399999999999997,286.71,46.61,28.87,37.74,19
5,1981,41,0.248,283.95,44.43,37.93,41.18,19
6,1981,42,0.215,280.38,38.88,56.43,47.66,19
7,1981,43,0.175,276.54,29.73,70.62,50.17,19
8,1981,44,0.139,272.47,22.09,76.58,49.33,19
9,1981,45,0.11,268.17,16.56,82.3,49.43,19
10,1981,46,0.091,265.04,15.6,81.54,48.57,19
11,1981,47,0.08,262.66,18.65,80.94,49.8,19
12,1981,48,0.07400000000000001,260.97,22.57,80.26,51.42,19
13,1981,49,0.067,258.96,22.19,81.86,52.03,19
14,1981,50,0.065,257.02,22.22,83.54,52.88,19
15,1981,51,0.066,255.95,26.41,82.49,54.45,19
16,1981,52,0.07,256.32,33.06,75.48,54.27,19
17,1982,1,0.077,258.13,44.89,63.95,54.42,19
18,1982,2,0.084,261.28,55.41,47.93,51.67,19
19,1982,3,0.08800000000000001,263.61,59.42,38.01,48.72,19
20,1982,4,0.091,266.15,57.55,29.88,43.71,19
21,1982,5,0.092,267.85,50.06,29.18,39.62,19
22,1982,6,0.094,268.92,44.28,31.75,38.01,19
23,1982,7,0.098,270.5,41.33,30.62,35.97,19
24,1982,8,0.106,272.32,42.5,29.83,36.16,19
25,1982,9,0.113,274.01,43.51,29.97,36.74,19
26,1982,10,0.12,275.63,43.53,31.8,37.66,19
27,1982,11,0.131,277.26,42.7,31.96,37.33,19
28,1982,12,0.142,278.95,40.84,38.51,39.68,19
29,1982,13,0.152,280.63,36.97,43.54,40.26,19
30,1982,14,0.161,282.33,31.56,48.11,39.83,19
31,1982,15,0.168,283.63,23.71,57.97,40.84,19
32,1982,16,0.185,285.07,20.25,65.26,42.75,19
33,1982,17,0.21100000000000002,286.78,20.42,68.25,44.33,19
34,1982,18,0.247,288.38,24.45,66.51,45.48,19
35,1982,19,0.292,290.08,32.91,61.53,47.22,19
36,1982,20,0.34,291.55,43.46,56.61,50.04,19
37,1982,21,0.373,291.98,48.59,59.47,54.03,19
38,1982,22,0.39399999999999996,292.18,50.77,60.28,55.52,19
39,1982,23,0.40299999999999997,292.22,49.81,61.34,55.58,19
40,1982,24,0.4,292.01,42.83,64.96,53.89,19
41,1982,25,0.391,291.7,36.58,70.58,53.58,19
42,1982,26,0.384,291.7,32.23,72.16,52.19,19
43,1982,27,0.382,292.16,31.41,69.34,50.37,19
44,1982,28,0.386,292.78,34.3,66.07,50.18,19
45,1982,29,0.391,293.51,40.27,61.52,50.89,19
46,1982,30,0.392,294.15,44.67,56.8,50.73,19
47,1982,31,0.386,294.45,43.24,52.37,47.8,19
48,1982,32,0.376,294.33,38.99,51.87,45.43,19
49,1982,33,0.37200000000000005,294.25,40.04,48.69,44.37,19
50,1982,34,0.366,294.14,41.62,41.79,41.7,19
51,1982,35,0.359,293.57,45.18,36.86,41.02,19
52,1982,36,0.34700000000000003,292.8,48.32,30.8,39.56,19
53,1982,37,0.325,291.76,46.49,26.63,36.56,19
54,1982,38,0.303,290.13,43.9,29.93,36.92,19
55,1982,39,0.27899999999999997,288.24,40.72,33.37,37.05,19
56,1982,40,0.252,286.29,35.75,35.12,35.44,19
57,1982,41,0.223,284.57,31.94,31.56,31.75,19
58,1982,42,0.2,282.84,31.56,32.01,31.79,19
59,1982,43,0.17800000000000002,280.96,31.54,34.34,32.94,19
60,1982,44,0.158,279.05,32.6,28.14,30.37,19
61,1982,45,0.133,276.9,29.6,26.11,27.86,19
62,1982,46,0.11599999999999999,275.33,30.28,23.68,26.98,19
63,1982,47,0.102,273.71,32.3,23.18,27.74,19
64,1982,48,0.08800000000000001,271.21,31.7,29.53,30.62,19
65,1982,49,0.078,268.73,29.22,35.11,32.17,19
66,1982,50,0.069,266.61,25.28,37.39,31.34,19
67,1982,51,0.066,264.81,26.65,38.66,32.66,19
68,1982,52,0.065,264.01,29.05,37.7,33.37,19
69,1983,1,0.066,264.13,34.42,34.43,34.42,19
70,1983,2,0.069,265.09,39.57,29.07,34.32,19
71,1983,3,0.07,266.1,41.12,25.6,33.36,19
72,1983,4,0.07200000000000001,267.09,40.46,25.44,32.95,19
73,1983,5,0.069,266.49,32.98,35.83,34.4,19
74,1983,6,0.061,266.1,22.61,44.89,33.75,19
75,1983,7,0.06,266.98,19.36,47.23,33.29,19
76,1983,8,0.06,267.24,17.83,54.71,36.27,19
77,1983,9,0.063,267.71,17.14,62.04,39.59,19
78,1983,10,0.073,269.25,19.49,64.93,42.21,19
79,1983,11,0.084,271.08,19.92,66.05,42.99,19
80,1983,12,0.099,273.3,20.06,70.4,45.23,19
81,1983,13,0.11900000000000001,275.98,21.01,71.57,46.29,19
82,1983,14,0.14300000000000002,278.84,22.76,73.28,48.02,19
83,1983,15,0.174,281.78,26.6,74.17,50.38,19
84,1983,16,0.203,284.25,28.71,73.66,51.18,19
85,1983,17,0.23199999999999998,286.8,30.14,68.21,49.17,19
86,1983,18,0.264,288.57,32.13,64.9,48.51,19
87,1983,19,0.295,290.38,33.63,58.52,46.08,19
88,1983,20,0.32799999999999996,292.32,37.73,47.97,42.85,19
89,1983,21,0.35200000000000004,292.87,38.17,49.43,43.8,19
90,1983,22,0.371,293.37,39.06,47.53,43.29,19
91,1983,23,0.385,293.75,40.58,45.19,42.89,19
92,1983,24,0.382,293.16,33.71,52.38,43.05,19
93,1983,25,0.38,293.08,30.49,55.39,42.94,19
94,1983,26,0.382,293.58,30.91,51.24,41.08,19
95,1983,27,0.38,293.57,29.54,53.4,41.47,19
96,1983,28,0.37200000000000005,293.24,25.73,60.42,43.08,19
97,1983,29,0.36200000000000004,292.93,22.96,68.22,45.59,19
98,1983,30,0.35600000000000004,293.0,23.24,70.88,47.06,19
99,1983,31,0.36200000000000004,293.2,28.71,67.87,48.29,19
100,1983,32,0.36700000000000005,293.33,33.08,64.77,48.92,19
101,1983,33,0.36700000000000005,293.65,36.79,56.76,46.77,19
102,1983,34,0.36700000000000005,293.96,41.68,44.22,42.95,19
103,1983,35,0.364,294.2,48.35,28.37,38.36,19
104,1983,36,0.354,293.61,52.08,20.87,36.48,19
105,1983,37,0.335,292.34,51.13,19.29,35.21,19
106,1983,38,0.315,290.95,49.75,19.18,34.47,19
107,1983,39,0.294,288.77,47.99,26.23,37.11,19
108,1983,40,0.265,286.48,42.39,32.41,37.4,19
109,1983,41,0.235,284.04,37.48,37.27,37.37,19
110,1983,42,0.20600000000000002,281.82,34.51,41.83,38.17,19
111,1983,43,0.179,280.08,31.53,41.35,36.44,19
112,1983,44,0.153,277.73,29.39,37.84,33.61,19
113,1983,45,0.126,275.04,25.32,38.4,31.86,19
114,1983,46,0.102,271.89,22.01,43.97,32.99,19
115,1983,47,0.087,269.17,22.34,48.16,35.25,19
116,1983,48,0.077,267.42,24.06,49.43,36.74,19
117,1983,49,0.068,266.47,22.45,46.65,34.55,19
118,1983,50,0.063,265.76,20.81,41.76,31.29,19
119,1983,51,0.057999999999999996,265.08,20.39,37.46,28.92,19
